what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1303780342414
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1303780349138
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1303780349934
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1303780352274
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1303780354239
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780358404
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780360058
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1303780365955
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780367062
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780369090
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780373115
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780378653
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780384254
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780385127
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780385455
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780398793
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1303780406593
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1303780407404
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1303780408699
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780409541
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780410352
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780410633
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780413270
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.delete.line,1303780415329
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303780417497
