what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303828370028
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303828375847
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303828376564
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303828378343
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303829153534
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303829158246
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303829338443
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.window.maximizePart,1303829340924
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303829346025
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303829459749
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303829462541
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303829782996
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303829784697
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303829786959
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1303829786990
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1303829786990
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1303829787006
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1303829787084
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1303829787364
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1303829787396
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1303829787458
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1303829787458
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1303829787505
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1303829787552
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1303829787567
